"","user_id","month","postcovid","trumpid","hoaxid","climateid","tweets","meandist","maxdist","state"
"60",3942111,"2020-06-01",FALSE,0,0,0,3,18698.1948163577,27905.0853951241,"New York"
"61",4221591,"2017-06-01",TRUE,0,0,0,2,0,0,NA
"62",4221591,"2017-07-01",TRUE,0,0,0,2,600.966883954692,600.966883954692,NA
"63",4541891,"2020-03-01",TRUE,0,0,0,7,655578.212968353,1427994.28575434,"California"
"64",4541891,"2020-04-01",FALSE,0,0,0,1,0,0,"California"
"65",4541891,"2020-04-01",TRUE,0,0,0,2,0,0,"California"
"66",4832871,"2020-07-01",FALSE,0,0,0,4,1685.94935574664,3371.89871149327,NA
"67",4832871,"2020-08-01",FALSE,0,0,0,4,444162.293691379,666243.440537068,NA
"68",5413802,"2018-04-01",TRUE,0,0,0,3,1639654.01566214,2452770.4134995,"California"
"69",5506832,"2018-10-01",TRUE,0,0,0,7,261528.796125323,913745.051937303,NA
"70",5506832,"2018-11-01",TRUE,0,0,0,9,285358.610016518,511001.248944924,NA
"71",5506832,"2018-12-01",TRUE,0,0,0,9,653902.032002326,1315854.93466975,NA
"72",5506832,"2019-01-01",TRUE,0,0,0,5,203473.949513101,508337.398497452,NA
"73",5506832,"2019-02-01",TRUE,0,0,0,7,2031.92452328081,4294.23635348684,NA
"74",5506832,"2019-03-01",TRUE,0,0,0,6,449443.501652709,897571.822099806,NA
"75",5506832,"2019-04-01",TRUE,0,0,0,7,224652.837206099,392897.481449679,NA
"76",5506832,"2019-05-01",TRUE,0,0,0,16,181211.092747059,557675.638496901,NA
"77",5506832,"2019-06-01",TRUE,0,0,0,5,26645.5347014941,44290.5564107126,NA
"78",5506832,"2019-07-01",TRUE,0,0,0,4,26729.3900334588,51729.9256091155,NA
"79",5506832,"2019-08-01",TRUE,0,0,0,17,224449.400760481,524234.701732391,NA
"80",5506832,"2019-09-01",TRUE,0,0,0,7,258058.404680409,511438.54699305,NA
"81",5506832,"2019-10-01",TRUE,0,0,0,12,2354.46494947006,6324.74878309957,NA
"82",5506832,"2019-11-01",TRUE,0,0,0,30,1298016.3040967,2755107.23601029,NA
"83",5506832,"2019-12-01",TRUE,0,0,0,11,277109.876806088,490851.591002469,NA
"84",5506832,"2020-01-01",TRUE,0,0,0,6,306330.138912185,511074.283221296,NA
"85",5506832,"2020-02-01",TRUE,0,0,0,7,223221.851639097,774796.967174267,NA
"86",5506832,"2020-03-01",TRUE,0,0,0,5,1541.7110648214,2790.80666244532,NA
"87",5506832,"2020-07-01",FALSE,0,0,0,4,862.296087779408,1724.59217555882,NA
"88",5723252,"2020-03-01",TRUE,0,0,0,90,11231.3849948236,31300.3897698609,"Pennsylvania"
"89",5723252,"2020-04-01",FALSE,0,0,0,48,10047.6285970345,31243.101071889,"Pennsylvania"
"90",5723252,"2020-04-01",TRUE,0,0,0,73,10047.6285970345,31243.101071889,"Pennsylvania"
"91",6168862,"2018-07-01",TRUE,0,0,0,2,79287.7290466291,79287.7290466291,"Montana"
"92",6168862,"2018-12-01",TRUE,0,0,0,2,0,0,"Montana"
"93",6302912,"2020-06-01",FALSE,0,0,0,3,922.899973555908,1384.34996033386,NA
"94",6302912,"2020-07-01",FALSE,0,0,0,5,44644.4472891531,110930.557017352,NA
"95",6302912,"2020-08-01",FALSE,0,0,0,3,66048.0203773832,99072.0305660749,NA
"96",6302912,"2020-09-01",FALSE,0,0,0,2,86230.2098699158,86230.2098699158,NA
"97",6418032,"2020-04-01",FALSE,0,0,0,2,967.741921487926,967.741921487926,"Pennsylvania"
"98",6418032,"2020-05-01",FALSE,0,0,0,9,1759.3419359853,3329.42002683542,"Pennsylvania"
"99",6418032,"2020-06-01",FALSE,0,0,0,7,1362.94219123768,3329.42002683542,"Pennsylvania"
"100",6418032,"2020-07-01",FALSE,0,0,0,2,0,0,"Pennsylvania"
"101",6434092,"2020-04-01",FALSE,0,0,0,2,5867.52357144524,9384.09643914714,"Kansas"
"102",6434092,"2020-04-01",TRUE,0,0,0,3,5867.52357144524,9384.09643914714,"Kansas"
"103",6988452,"2020-09-01",FALSE,0,0,0,3,1162490.48493766,1743735.72740649,NA
"104",7003192,"2017-06-01",TRUE,0,0,0,6,2878693.04817829,8581889.94755797,"California"
"105",7003192,"2017-07-01",TRUE,0,0,0,6,4573179.23390757,8571019.24664587,"California"
"106",7003192,"2017-08-01",TRUE,0,0,0,5,500970.153781864,842655.415393266,"California"
"107",7003192,"2017-09-01",TRUE,0,0,0,9,4108.89461513004,14596.9801043104,"California"
"108",7003192,"2017-10-01",TRUE,0,0,0,8,211905.889377515,551461.357173179,"California"
"109",7003192,"2017-11-01",TRUE,0,0,0,9,308093.410340108,669496.02566131,"California"
"110",7003192,"2017-12-01",TRUE,0,0,0,8,7355.56327039633,20825.0579859042,"California"
"111",7003192,"2018-01-01",TRUE,0,0,0,4,42903.094833477,82406.7594824447,"California"
"112",7003192,"2018-02-01",TRUE,0,0,0,20,810598.282076707,5286492.6726345,"California"
"113",7003192,"2018-03-01",TRUE,0,0,0,22,2231517.33793358,14203896.0032928,"California"
"114",7003192,"2018-04-01",TRUE,0,0,0,20,1203440.34038651,11110034.6454106,"California"
"115",7003192,"2018-05-01",TRUE,0,0,0,9,20737.8277737557,39806.3350115692,"California"
"116",7003192,"2018-06-01",TRUE,0,0,0,3,7676.31559133411,10099.9803243177,"California"
"117",7003192,"2018-07-01",TRUE,0,0,0,8,226355.190573479,393658.627105299,"California"
"118",7003192,"2018-08-01",TRUE,0,0,0,16,2857792.70238395,8687229.38965735,"California"
"119",7003192,"2018-09-01",TRUE,0,0,0,9,2361405.70702646,9298019.31816881,"California"
"120",7003192,"2018-10-01",TRUE,0,0,0,3,11395.2995797936,17092.9493696904,"California"
"121",7003192,"2018-11-01",TRUE,0,0,0,5,24853.1653561374,60814.8391007449,"California"
"122",7003192,"2018-12-01",TRUE,0,0,0,4,0,0,"California"
"123",7003192,"2019-01-01",TRUE,0,0,0,6,37257.3819228428,65353.6043229535,"California"
"124",7003192,"2019-02-01",TRUE,0,0,0,8,69946.0086449538,279784.034579815,"California"
"125",7003192,"2019-03-01",TRUE,0,0,0,25,0,0,"California"
"126",7003192,"2019-04-01",TRUE,0,0,0,26,47193.0447118775,171517.715436033,"California"
"127",7003192,"2019-05-01",TRUE,0,0,0,13,3084.1884680932,14166.8096444975,"California"
"128",7003192,"2019-06-01",TRUE,0,0,0,11,260500.120222619,713642.787455418,"California"
"129",7003192,"2019-07-01",TRUE,0,0,0,2,72072.2334793683,72072.2334793683,"California"
"130",7003192,"2019-08-01",TRUE,0,0,0,4,41834.871508397,83669.7430167939,"California"
"131",7003192,"2019-09-01",TRUE,0,0,0,12,55356.4134684437,84876.3743965248,"California"
"132",7003192,"2019-10-01",TRUE,0,0,0,10,1216257.11796488,2737052.8993387,"California"
"133",7003192,"2019-11-01",TRUE,0,0,0,14,1277277.76890615,8803623.57435324,"California"
"134",7003192,"2019-12-01",TRUE,0,0,0,12,296819.070880433,1686948.3340748,"California"
"135",7003192,"2020-01-01",TRUE,0,0,0,5,0,0,"California"
"136",7003192,"2020-02-01",TRUE,0,0,0,8,0,0,"California"
"137",7003192,"2020-03-01",TRUE,0,0,0,4,0,0,"California"
"138",7003192,"2020-05-01",FALSE,0,0,0,4,3479.7167688203,5219.57515323045,"California"
"139",7003192,"2020-06-01",FALSE,0,0,0,10,1045.65732948884,5219.57515323045,"California"
"140",7003192,"2020-07-01",FALSE,0,0,0,4,2609.78757661522,5219.57515323045,"California"
"141",7003192,"2020-08-01",FALSE,0,0,0,2,0,0,"California"
"142",7244622,"2020-06-01",FALSE,0,0,0,3,21650.2884952194,31661.1447290004,NA
"143",7244622,"2020-07-01",FALSE,0,0,0,3,1925.332031598,2887.99804739699,NA
"144",7459902,"2017-02-01",TRUE,0,0,0,2,1357.83829835041,1357.83829835041,"California"
"145",7459902,"2017-03-01",TRUE,0,0,0,2,18962.5942495212,18962.5942495212,"California"
"146",7459902,"2017-04-01",TRUE,0,0,0,2,23881.4899247948,23881.4899247948,"California"
"147",7459902,"2017-08-01",TRUE,0,0,0,13,2206.76098910926,13116.115774048,"California"
"148",7459902,"2017-09-01",TRUE,0,0,0,5,74764.5886139665,124604.295867627,"California"
"149",7459902,"2017-11-01",TRUE,0,0,0,15,1240830.36802413,3631540.8454763,"California"
"150",7459902,"2018-01-01",TRUE,0,0,0,3,0,0,"California"
"151",7459902,"2018-02-01",TRUE,0,0,0,2,0,0,"California"
"152",7459902,"2018-03-01",TRUE,0,0,0,2,0,0,"California"
"153",7459902,"2018-04-01",TRUE,0,0,0,8,56117.5580113517,123538.954343669,"California"
"154",7459902,"2018-05-01",TRUE,0,0,0,4,193857.456626228,386181.304299966,"California"
"155",7459902,"2018-07-01",TRUE,0,0,0,13,1172044.40361579,4130798.15421575,"California"
"156",7459902,"2018-08-01",TRUE,0,0,0,3,97.0721796051967,145.608269407795,"California"
"157",7459902,"2018-09-01",TRUE,0,0,0,5,0,0,"California"
"158",7459902,"2018-11-01",TRUE,0,0,0,10,7370.0844532978,29324.4752503055,"California"
"159",7459902,"2018-12-01",TRUE,0,0,0,7,73487.9562488248,139164.050363806,"California"
"160",7459902,"2019-01-01",TRUE,0,0,0,6,3631.1077276452,10893.3231829356,"California"
"161",7459902,"2019-02-01",TRUE,0,0,0,10,6112.07027730627,28968.5528592242,"California"
"162",7459902,"2019-04-01",TRUE,0,0,0,4,59710.8133786526,119421.626757305,"California"
"163",7459902,"2019-05-01",TRUE,0,0,0,7,0,0,"California"
"164",7459902,"2019-10-01",TRUE,0,0,0,2,28678.6240103321,28678.6240103321,"California"
"165",7459902,"2019-11-01",TRUE,0,0,0,2,0,0,"California"
"166",7459902,"2020-01-01",TRUE,0,0,0,12,843.455326327896,5060.73195796737,"California"
"167",7459902,"2020-04-01",FALSE,0,0,0,3,0,0,"California"
"168",7459902,"2020-05-01",FALSE,0,0,0,10,4557.48068325126,22787.4034162563,"California"
"169",7459902,"2020-07-01",FALSE,0,0,0,34,2035.00691812384,5310.02214435402,"California"
"170",7553082,"2019-07-01",TRUE,0,0,0,19,400756.540648725,1212523.87121155,NA
"171",7553082,"2019-12-01",TRUE,0,0,0,8,1938539.3339286,6777806.31209487,NA
"172",7553082,"2020-06-01",FALSE,0,0,0,2,1060733.18373264,1060733.18373264,NA
"173",7592202,"2019-08-01",TRUE,0,0,0,6,0,0,"Arizona"
"174",7592202,"2019-09-01",TRUE,0,0,0,7,0,0,"Arizona"
"175",7592202,"2019-10-01",TRUE,0,0,0,7,11552.3443068531,20226.0151958497,"Arizona"
"176",7592202,"2019-11-01",TRUE,0,0,0,6,0,0,"Arizona"
"177",7592202,"2019-12-01",TRUE,0,0,0,6,0,0,"Arizona"
"178",7592202,"2020-01-01",TRUE,0,0,0,5,0,0,"Arizona"
"179",7592202,"2020-02-01",TRUE,0,0,0,14,8218.2850385933,20071.4997412192,"Arizona"
"180",7592202,"2020-03-01",TRUE,0,0,0,18,10345.2039631635,39502.082475793,"Arizona"
"181",7592202,"2020-04-01",FALSE,0,0,0,7,8825.89754000716,20226.0151958497,"Arizona"
"182",7592202,"2020-04-01",TRUE,0,0,0,4,8825.89754000716,20226.0151958497,"Arizona"
"183",7592202,"2020-05-01",FALSE,0,0,0,6,0,0,"Arizona"
"184",7592202,"2020-06-01",FALSE,0,0,0,2,0,0,"Arizona"
"185",7662652,"2020-05-01",FALSE,0,0,0,8,1445381.501405,3372334.27708488,"New York"
"186",7662652,"2020-06-01",FALSE,0,0,0,4,3118509.76696883,6234946.9468327,"New York"
"187",7662652,"2020-07-01",FALSE,0,0,0,8,112.705983212535,450.82393285014,"New York"
"188",8282212,"2017-01-01",TRUE,0,0,0,13,418.831083346073,2722.40204174947,NA
"189",8282212,"2017-02-01",TRUE,0,0,0,12,472.861683782054,2274.14716103343,NA
"190",8282212,"2017-03-01",TRUE,0,0,0,8,586.032114023688,2344.12845609475,NA
"191",8282212,"2017-04-01",TRUE,0,0,0,2,57185.9201604384,57185.9201604384,NA
"192",8282212,"2017-05-01",TRUE,0,0,0,2,34072.648063412,34072.648063412,NA
"193",8282212,"2017-07-01",TRUE,0,0,0,2,0,0,NA
"194",8282212,"2017-09-01",TRUE,0,0,0,4,11189.4689971984,21503.0582910089,NA
"195",8322232,"2019-08-01",TRUE,0,0,0,3,42493.6448008313,63691.0429107609,"Colorado"
"196",8322232,"2019-09-01",TRUE,0,0,0,4,318260.025264471,489812.568237647,"Colorado"
