"","month","iso_code","date","location","total_cases","total_deaths","total_cases_per_million","total_deaths_per_million","total_tests","total_tests_per_thousand","total_vaccinations","total_boosters","total_vaccinations_per_hundred","total_boosters_per_hundred","population","population_density","continent","cs","L1vax","vax","lndeaths","deaths","lnvax","period"
"28","2021-02","BEL",2021-02-28,"Belgium",771511,22077,66324.695,1897.899,9500604,816.741,874481,0,7.52,0,11632334,375.564,"Europe",NA,2.96,7.52,7.54902952351056,1897.899,2.14241634084122,1
"29","2021-10","BEL",2021-10-31,"Belgium",1360650,25994,116971.366,2234.633,21934319,1885.634,16908582,657348,145.36,5.65,11632334,375.564,"Europe",NA,143.25,145.36,7.71227968842455,2234.633,4.98606934015101,2
"30","2021-02","BEN",2021-02-28,"Benin",5434,70,436.43,5.622,0,0,0,0,0,0,12451031,99.11,"Africa",NA,0,0,1.89039743912505,5.622,0,1
"31","2021-11","BEN",2021-11-27,"Benin",24850,161,1995.819,12.931,0,0,0,0,0,0,12451031,99.11,"Africa",NA,0,0,2.63411657272409,12.931,0,2
"32","2021-09","BES",2021-09-01,"Bonaire Sint Eustatius and Saba",0,0,0,0,0,0,35845,0,135.55,0,26445,NA,"North America",NA,0,135.55,0,0,4.91669084791971,1
"33","2021-02","BFA",2021-02-28,"Burkina Faso",11982,142,557.378,6.606,0,0,0,0,0,0,21497097,70.151,"Africa",811,0,0,2.02893740950607,6.606,0,1
"34","2021-08","BFA",2021-08-31,"Burkina Faso",13777,171,640.877,7.955,0,0,108799,0,0.51,0,21497097,70.151,"Africa",1788,0,0.51,2.19221203551268,7.955,0.412109650826833,2
"35","2021-02","BGD",2021-02-28,"Bangladesh",546216,8408,3284.453,50.558,4041098,24.3,3110525,0,1.87,0,166303494,1265.036,"Asia",51974,0,1.87,3.94270738755914,50.558,1.05431202977153,1
"36","2021-11","BGD",2021-11-27,"Bangladesh",1575579,27975,9474.118,168.217,NA,NA,93786656,0,56.39,0,166303494,1265.036,"Asia",229825,42.4,56.39,5.13118191493831,168.217,4.04987007212027,2
"37","2021-02","BGR",2021-02-28,"Bulgaria",247038,10191,35819.974,1477.673,1662699,241.088,212445,0,3.08,0,6896655,65.18,"Europe",34407,0.6,3.08,7.29890034293094,1477.673,1.40609698841607,1
"38","2021-11","BGR",2021-11-27,"Bulgaria",688628,28043,99849.565,4066.174,NA,NA,3290556,0,47.71,0,6896655,65.18,"Europe",209797,41.47,47.71,8.31070368837045,4066.174,3.88588434781845,2
