"","month","iso_code","date","location","total_cases","total_deaths","total_cases_per_million","total_deaths_per_million","total_tests","total_tests_per_thousand","total_vaccinations","total_boosters","total_vaccinations_per_hundred","total_boosters_per_hundred","population","population_density","continent"
"1","2021-03","ABW","2021-03-31","Aruba",0,0,0,0,0,0,0,0,0,0,107195,584.8,"North America"
"2","2021-04","ABW","2021-04-30","Aruba",0,0,0,0,0,0,76865,0,71.71,0,107195,584.8,"North America"
"3","2021-05","ABW","2021-05-31","Aruba",0,0,0,0,0,0,114154,0,106.49,0,107195,584.8,"North America"
"4","2021-06","ABW","2021-06-30","Aruba",0,0,0,0,0,0,127256,0,118.71,0,107195,584.8,"North America"
"5","2021-07","ABW","2021-07-31","Aruba",0,0,0,0,0,0,138509,0,129.21,0,107195,584.8,"North America"
"6","2021-08","ABW","2021-08-31","Aruba",0,0,0,0,0,0,148225,0,138.28,0,107195,584.8,"North America"
"7","2021-09","ABW","2021-09-30","Aruba",0,0,0,0,0,0,156179,0,145.7,0,107195,584.8,"North America"
"8","2020-02","AFG","2020-02-29","Afghanistan",5,0,0.126,0,0,0,0,0,0,0,39835428,54.422,"Asia"
"9","2020-03","AFG","2020-03-31","Afghanistan",166,4,4.167,0.1,0,0,0,0,0,0,39835428,54.422,"Asia"
"10","2020-04","AFG","2020-04-30","Afghanistan",1827,60,45.864,1.506,0,0,0,0,0,0,39835428,54.422,"Asia"
"11","2020-05","AFG","2020-05-31","Afghanistan",15180,254,381.068,6.376,0,0,0,0,0,0,39835428,54.422,"Asia"
"12","2020-06","AFG","2020-06-30","Afghanistan",31445,739,789.373,18.551,0,0,0,0,0,0,39835428,54.422,"Asia"
"13","2020-07","AFG","2020-07-31","Afghanistan",36628,1275,919.483,32.007,0,0,0,0,0,0,39835428,54.422,"Asia"
"14","2020-08","AFG","2020-08-31","Afghanistan",38248,1406,960.15,35.295,0,0,0,0,0,0,39835428,54.422,"Asia"
"15","2020-09","AFG","2020-09-30","Afghanistan",39354,1462,987.915,36.701,0,0,0,0,0,0,39835428,54.422,"Asia"
"16","2020-10","AFG","2020-10-31","Afghanistan",41334,1533,1037.619,38.483,0,0,0,0,0,0,39835428,54.422,"Asia"
"17","2020-11","AFG","2020-11-30","Afghanistan",46215,1763,1160.148,44.257,0,0,0,0,0,0,39835428,54.422,"Asia"
"18","2020-12","AFG","2020-12-31","Afghanistan",52330,2189,1313.655,54.951,0,0,0,0,0,0,39835428,54.422,"Asia"
"19","2021-01","AFG","2021-01-31","Afghanistan",55023,2400,1381.258,60.248,0,0,0,0,0,0,39835428,54.422,"Asia"
"20","2021-02","AFG","2021-02-28","Afghanistan",55714,2443,1398.604,61.327,0,0,8200,0,0.02,0,39835428,54.422,"Asia"
"21","2021-03","AFG","2021-03-31","Afghanistan",56454,2484,1417.181,62.357,0,0,NA,0,NA,0,39835428,54.422,"Asia"
"22","2021-04","AFG","2021-04-30","Afghanistan",59745,2625,1499.796,65.896,0,0,NA,0,NA,0,39835428,54.422,"Asia"
"23","2021-05","AFG","2021-05-31","Afghanistan",71838,2944,1803.37,73.904,0,0,NA,0,NA,0,39835428,54.422,"Asia"
"24","2021-06","AFG","2021-06-30","Afghanistan",118659,4871,2978.73,122.278,0,0,886854,0,2.23,0,39835428,54.422,"Asia"
"25","2021-07","AFG","2021-07-31","Afghanistan",147154,6708,3694.048,168.393,0,0,NA,0,NA,0,39835428,54.422,"Asia"
"26","2021-08","AFG","2021-08-31","Afghanistan",153220,7118,3846.325,178.685,0,0,1979652,0,4.97,0,39835428,54.422,"Asia"
"27","2021-09","AFG","2021-09-30","Afghanistan",155174,7204,3895.377,180.844,0,0,2369625,0,5.95,0,39835428,54.422,"Asia"
"28","2020-03","AGO","2020-03-31","Angola",7,2,0.206,0.059,0,0,0,0,0,0,33933611,23.89,"Africa"
"29","2020-04","AGO","2020-04-30","Angola",27,2,0.796,0.059,0,0,0,0,0,0,33933611,23.89,"Africa"
"30","2020-05","AGO","2020-05-31","Angola",86,4,2.534,0.118,0,0,0,0,0,0,33933611,23.89,"Africa"
"31","2020-06","AGO","2020-06-30","Angola",284,13,8.369,0.383,0,0,0,0,0,0,33933611,23.89,"Africa"
"32","2020-07","AGO","2020-07-31","Angola",1148,52,33.831,1.532,0,0,0,0,0,0,33933611,23.89,"Africa"
"33","2020-08","AGO","2020-08-31","Angola",2654,108,78.212,3.183,0,0,0,0,0,0,33933611,23.89,"Africa"
"34","2020-09","AGO","2020-09-30","Angola",4972,183,146.521,5.393,0,0,0,0,0,0,33933611,23.89,"Africa"
"35","2020-10","AGO","2020-10-31","Angola",10805,284,318.416,8.369,0,0,0,0,0,0,33933611,23.89,"Africa"
"36","2020-11","AGO","2020-11-30","Angola",15139,348,446.136,10.255,0,0,0,0,0,0,33933611,23.89,"Africa"
"37","2020-12","AGO","2020-12-31","Angola",17553,405,517.275,11.935,0,0,0,0,0,0,33933611,23.89,"Africa"
"38","2021-01","AGO","2021-01-31","Angola",19796,466,583.374,13.733,0,0,0,0,0,0,33933611,23.89,"Africa"
"39","2021-02","AGO","2021-02-28","Angola",20807,508,613.168,14.97,0,0,0,0,0,0,33933611,23.89,"Africa"
"40","2021-03","AGO","2021-03-31","Angola",22311,537,657.49,15.825,0,0,0,0,0,0,33933611,23.89,"Africa"
"41","2021-04","AGO","2021-04-30","Angola",26652,596,785.416,17.564,0,0,0,0,0,0,33933611,23.89,"Africa"
"42","2021-05","AGO","2021-05-31","Angola",34551,766,1018.194,22.573,0,0,909215,0,2.68,0,33933611,23.89,"Africa"
"43","2021-06","AGO","2021-06-30","Angola",38849,900,1144.853,26.522,0,0,NA,0,NA,0,33933611,23.89,"Africa"
"44","2021-07","AGO","2021-07-31","Angola",42777,1011,1260.609,29.793,0,0,NA,0,NA,0,33933611,23.89,"Africa"
"45","2021-08","AGO","2021-08-31","Angola",47544,1217,1401.089,35.864,0,0,NA,0,NA,0,33933611,23.89,"Africa"
"46","2021-09","AGO","2021-09-30","Angola",56583,1537,1667.462,45.294,0,0,NA,0,NA,0,33933611,23.89,"Africa"
"47","2021-02","AIA","2021-02-28","Anguilla",0,0,0,0,0,0,0,0,0,0,15125,NA,"North America"
"48","2021-03","AIA","2021-03-31","Anguilla",0,0,0,0,0,0,0,0,0,0,15125,NA,"North America"
"49","2021-04","AIA","2021-04-30","Anguilla",0,0,0,0,0,0,0,0,0,0,15125,NA,"North America"
"50","2021-05","AIA","2021-05-31","Anguilla",0,0,0,0,0,0,0,0,0,0,15125,NA,"North America"
"51","2021-06","AIA","2021-06-30","Anguilla",0,0,0,0,0,0,0,0,0,0,15125,NA,"North America"
"52","2021-07","AIA","2021-07-31","Anguilla",0,0,0,0,0,0,0,0,0,0,15125,NA,"North America"
"53","2021-08","AIA","2021-08-31","Anguilla",0,0,0,0,0,0,0,0,0,0,15125,NA,"North America"
"54","2021-09","AIA","2021-09-30","Anguilla",0,0,0,0,0,0,0,0,0,0,15125,NA,"North America"
"55","2020-02","ALB","2020-02-29","Albania",0,0,0,0,26,0.009,0,0,0,0,2872934,104.871,"Europe"
"56","2020-03","ALB","2020-03-31","Albania",243,15,84.583,5.221,1552,0.54,0,0,0,0,2872934,104.871,"Europe"
"57","2020-04","ALB","2020-04-30","Albania",773,31,269.063,10.79,8134,2.831,0,0,0,0,2872934,104.871,"Europe"
"58","2020-05","ALB","2020-05-31","Albania",1137,33,395.763,11.487,14604,5.083,0,0,0,0,2872934,104.871,"Europe"
"59","2020-06","ALB","2020-06-30","Albania",2535,62,882.373,21.581,23535,8.192,0,0,0,0,2872934,104.871,"Europe"
"60","2020-07","ALB","2020-07-31","Albania",5276,157,1836.45,54.648,36923,12.852,0,0,0,0,2872934,104.871,"Europe"
"61","2020-08","ALB","2020-08-31","Albania",9513,284,3311.249,98.854,58368,20.317,0,0,0,0,2872934,104.871,"Europe"
"62","2020-09","ALB","2020-09-30","Albania",13649,387,4750.892,134.705,83571,29.089,0,0,0,0,2872934,104.871,"Europe"
"63","2020-10","ALB","2020-10-31","Albania",20875,509,7266.091,177.171,120751,42.031,0,0,0,0,2872934,104.871,"Europe"
"64","2020-11","ALB","2020-11-30","Albania",38182,810,13290.246,281.942,177138,61.658,0,0,0,0,2872934,104.871,"Europe"
"65","2020-12","ALB","2020-12-31","Albania",58316,1181,20298.413,411.078,247526,86.158,0,0,0,0,2872934,104.871,"Europe"
"66","2021-01","ALB","2021-01-31","Albania",78127,1380,27194.151,480.345,343109,119.428,0,0,0,0,2872934,104.871,"Europe"
"67","2021-02","ALB","2021-02-28","Albania",107167,1796,37302.284,625.145,444449,154.702,0,0,0,0,2872934,104.871,"Europe"
"68","2021-03","ALB","2021-03-31","Albania",125157,2235,43564.175,777.95,536585,186.772,138846,0,4.83,0,2872934,104.871,"Europe"
"69","2021-04","ALB","2021-04-30","Albania",131085,2394,45627.571,833.294,615752,214.329,476903,0,16.6,0,2872934,104.871,"Europe"
"70","2021-05","ALB","2021-05-31","Albania",132315,2451,46055.705,853.135,700064,243.676,776461,0,27.03,0,2872934,104.871,"Europe"
"71","2021-06","ALB","2021-06-30","Albania",132521,2456,46127.408,854.875,NA,NA,968034,0,33.69,0,2872934,104.871,"Europe"
"72","2021-07","ALB","2021-07-31","Albania",133081,2457,46322.331,855.223,NA,NA,1198933,0,41.73,0,2872934,104.871,"Europe"
"73","2021-08","ALB","2021-08-31","Albania",146387,2498,50953.833,869.494,NA,NA,1472316,0,51.25,0,2872934,104.871,"Europe"
"74","2021-09","ALB","2021-09-30","Albania",170131,2698,59218.555,939.11,NA,NA,1741373,0,60.61,0,2872934,104.871,"Europe"
"75","2020-03","AND","2020-03-31","Andorra",376,12,4860.77,155.131,0,0,0,0,0,0,77354,163.755,"Europe"
"76","2020-04","AND","2020-04-30","Andorra",745,42,9631.047,542.958,0,0,0,0,0,0,77354,163.755,"Europe"
"77","2020-05","AND","2020-05-31","Andorra",764,51,9876.671,659.307,0,0,0,0,0,0,77354,163.755,"Europe"
"78","2020-06","AND","2020-06-30","Andorra",855,52,11053.081,672.234,0,0,0,0,0,0,77354,163.755,"Europe"
"79","2020-07","AND","2020-07-31","Andorra",925,52,11958.011,672.234,0,0,0,0,0,0,77354,163.755,"Europe"
"80","2020-08","AND","2020-08-31","Andorra",1176,53,15202.834,685.162,0,0,0,0,0,0,77354,163.755,"Europe"
"81","2020-09","AND","2020-09-30","Andorra",2050,53,26501.538,685.162,0,0,0,0,0,0,77354,163.755,"Europe"
"82","2020-10","AND","2020-10-31","Andorra",4756,75,61483.569,969.568,0,0,0,0,0,0,77354,163.755,"Europe"
"83","2020-11","AND","2020-11-30","Andorra",6745,76,87196.525,982.496,0,0,0,0,0,0,77354,163.755,"Europe"
"84","2020-12","AND","2020-12-31","Andorra",8049,84,104054.089,1085.917,0,0,0,0,0,0,77354,163.755,"Europe"
"85","2021-01","AND","2021-01-31","Andorra",9937,101,128461.359,1305.686,0,0,0,0,0,0,77354,163.755,"Europe"
"86","2021-02","AND","2021-02-28","Andorra",10866,110,140471.081,1422.034,0,0,0,0,0,0,77354,163.755,"Europe"
"87","2021-03","AND","2021-03-31","Andorra",12010,115,155260.232,1486.672,0,0,0,0,0,0,77354,163.755,"Europe"
"88","2021-04","AND","2021-04-30","Andorra",13232,125,171057.735,1615.947,0,0,0,0,0,0,77354,163.755,"Europe"
"89","2021-05","AND","2021-05-31","Andorra",13727,127,177456.887,1641.803,191856,2480.234,35916,0,46.43,0,77354,163.755,"Europe"
"90","2021-06","AND","2021-06-30","Andorra",13911,127,179835.561,1641.803,NA,NA,NA,0,NA,0,77354,163.755,"Europe"
"91","2021-07","AND","2021-07-31","Andorra",14678,128,189751.015,1654.73,NA,NA,NA,0,NA,0,77354,163.755,"Europe"
"92","2021-08","AND","2021-08-31","Andorra",15033,130,194340.306,1680.585,NA,NA,NA,0,NA,0,77354,163.755,"Europe"
"93","2021-09","AND","2021-09-30","Andorra",15222,130,196783.618,1680.585,NA,NA,NA,0,NA,0,77354,163.755,"Europe"
"94","2020-01","ARE","2020-01-31","United Arab Emirates",4,0,0.4,0,0,0,0,0,0,0,9991083,112.442,"Asia"
"95","2020-02","ARE","2020-02-29","United Arab Emirates",21,0,2.102,0,0,0,0,0,0,0,9991083,112.442,"Asia"
"96","2020-03","ARE","2020-03-31","United Arab Emirates",664,6,66.459,0.601,220000,22.02,0,0,0,0,9991083,112.442,"Asia"
"97","2020-04","ARE","2020-04-30","United Arab Emirates",12481,105,1249.214,10.509,1145366,114.639,0,0,0,0,9991083,112.442,"Asia"
"98","2020-05","ARE","2020-05-31","United Arab Emirates",34557,264,3458.784,26.424,2235232,223.723,0,0,0,0,9991083,112.442,"Asia"
"99","2020-06","ARE","2020-06-30","United Arab Emirates",48667,315,4871.044,31.528,3592808,359.601,0,0,0,0,9991083,112.442,"Asia"
"100","2020-07","ARE","2020-07-31","United Arab Emirates",60506,351,6056,35.131,5076384,508.091,0,0,0,0,9991083,112.442,"Asia"
"101","2020-08","ARE","2020-08-31","United Arab Emirates",70231,384,7029.368,38.434,7094658,710.099,0,0,0,0,9991083,112.442,"Asia"
"102","2020-09","ARE","2020-09-30","United Arab Emirates",94190,419,9427.406,41.937,9704726,971.339,0,0,0,0,9991083,112.442,"Asia"
"103","2020-10","ARE","2020-10-31","United Arab Emirates",132629,495,13274.737,49.544,13184160,1319.593,0,0,0,0,9991083,112.442,"Asia"
"104","2020-11","ARE","2020-11-30","United Arab Emirates",168860,572,16901.071,57.251,16727741,1674.267,0,0,0,0,9991083,112.442,"Asia"
"105","2020-12","ARE","2020-12-31","United Arab Emirates",207822,669,20800.748,66.96,20890341,2090.899,0,0,0,0,9991083,112.442,"Asia"
"106","2021-01","ARE","2021-01-31","United Arab Emirates",303609,850,30387.997,85.076,25764720,2578.771,3334162,0,33.37,0,9991083,112.442,"Asia"
"107","2021-02","ARE","2021-02-28","United Arab Emirates",391524,1221,39187.343,122.209,30665851,3069.322,6020461,0,60.26,0,9991083,112.442,"Asia"
"108","2021-03","ARE","2021-03-31","United Arab Emirates",461444,1497,46185.584,149.834,37599048,3763.26,8308469,0,83.16,0,9991083,112.442,"Asia"
"109","2021-04","ARE","2021-04-30","United Arab Emirates",520236,1587,52070.031,158.842,44108915,4414.828,NA,0,NA,0,9991083,112.442,"Asia"
"110","2021-05","ARE","2021-05-31","United Arab Emirates",570836,1680,57134.547,168.15,50338982,5038.391,12870553,0,128.82,0,9991083,112.442,"Asia"
"111","2021-06","ARE","2021-06-30","United Arab Emirates",632907,1811,63347.187,181.262,57735677,5778.721,15362342,0,153.76,0,9991083,112.442,"Asia"
"112","2021-07","ARE","2021-07-31","United Arab Emirates",680858,1949,68146.566,195.074,65922553,6598.139,16795717,0,168.11,0,9991083,112.442,"Asia"
"113","2021-08","ARE","2021-08-31","United Arab Emirates",718370,2041,71901.114,204.282,74776361,7484.31,18158991,0,181.75,0,9991083,112.442,"Asia"
"114","2021-09","ARE","2021-09-30","United Arab Emirates",735992,2097,73664.887,209.887,83975380,8405.033,20052399,2507168,200.7,25.09,9991083,112.442,"Asia"
"115","2020-01","ARG","2020-01-31","Argentina",0,0,0,0,538,0.012,0,0,0,0,45605823,16.177,"South America"
"116","2020-02","ARG","2020-02-29","Argentina",0,0,0,0,639,0.014,0,0,0,0,45605823,16.177,"South America"
"117","2020-03","ARG","2020-03-31","Argentina",1054,27,23.111,0.592,7316,0.16,0,0,0,0,45605823,16.177,"South America"
"118","2020-04","ARG","2020-04-30","Argentina",4428,218,97.093,4.78,70442,1.545,0,0,0,0,45605823,16.177,"South America"
"119","2020-05","ARG","2020-05-31","Argentina",16851,539,369.492,11.819,202624,4.443,0,0,0,0,45605823,16.177,"South America"
"120","2020-06","ARG","2020-06-30","Argentina",64530,1307,1414.951,28.659,451984,9.911,0,0,0,0,45605823,16.177,"South America"
"121","2020-07","ARG","2020-07-31","Argentina",191302,3543,4194.684,77.687,899114,19.715,0,0,0,0,45605823,16.177,"South America"
"122","2020-08","ARG","2020-08-31","Argentina",417735,8660,9159.686,189.888,1564948,34.315,0,0,0,0,45605823,16.177,"South America"
"123","2020-09","ARG","2020-09-30","Argentina",751001,16937,16467.217,371.378,2381325,52.215,0,0,0,0,45605823,16.177,"South America"
"124","2020-10","ARG","2020-10-31","Argentina",1166924,31002,25587.171,679.782,3376403,74.034,0,0,0,0,45605823,16.177,"South America"
"125","2020-11","ARG","2020-11-30","Argentina",1424533,38730,31235.77,849.234,4180820,91.673,0,0,0,0,45605823,16.177,"South America"
"126","2020-12","ARG","2020-12-31","Argentina",1625514,43245,35642.685,948.234,5085295,111.505,32013,0,0.07,0,45605823,16.177,"South America"
"127","2021-01","ARG","2021-01-31","Argentina",1927239,47974,42258.617,1051.927,6476102,142.002,NA,0,NA,0,45605823,16.177,"South America"
"128","2021-02","ARG","2021-02-28","Argentina",2107365,51965,46208.244,1139.438,7730455,169.506,1025003,0,2.25,0,45605823,16.177,"South America"
"129","2021-03","ARG","2021-03-31","Argentina",2348821,55858,51502.656,1224.8,9167964,201.026,3891932,0,8.53,0,45605823,16.177,"South America"
"130","2021-04","ARG","2021-04-30","Argentina",2977363,63865,65284.712,1400.369,11605324,254.47,7865213,0,17.25,0,45605823,16.177,"South America"
"131","2021-05","ARG","2021-05-31","Argentina",3781784,78093,82923.271,1712.347,14352191,314.701,12257297,0,26.88,0,45605823,16.177,"South America"
"132","2021-06","ARG","2021-06-30","Argentina",4470374,94304,98022,2067.806,16950548,371.675,20543325,0,45.05,0,45605823,16.177,"South America"
"133","2021-07","ARG","2021-07-31","Argentina",4929764,105721,108095.056,2318.147,19594785,429.655,31877998,0,69.9,0,45605823,16.177,"South America"
"134","2021-08","ARG","2021-08-31","Argentina",5185620,111812,113705.217,2451.704,22273987,488.402,42260571,0,92.66,0,45605823,16.177,"South America"
"135","2021-09","ARG","2021-09-30","Argentina",5256902,115179,115268.219,2525.533,23940158,524.936,51711461,0,113.39,0,45605823,16.177,"South America"
"136","2020-03","ARM","2020-03-31","Armenia",532,3,179.238,1.011,3065,1.033,0,0,0,0,2968128,102.931,"Asia"
"137","2020-04","ARM","2020-04-30","Armenia",2066,32,696.062,10.781,NA,NA,0,0,0,0,2968128,102.931,"Asia"
"138","2020-05","ARM","2020-05-31","Armenia",9282,131,3127.224,44.136,NA,NA,0,0,0,0,2968128,102.931,"Asia"
"139","2020-06","ARM","2020-06-30","Armenia",25542,443,8605.424,149.252,NA,NA,0,0,0,0,2968128,102.931,"Asia"
"140","2020-07","ARM","2020-07-31","Armenia",38550,738,12987.984,248.642,NA,NA,0,0,0,0,2968128,102.931,"Asia"
"141","2020-08","ARM","2020-08-31","Armenia",43781,879,14750.375,296.146,NA,NA,0,0,0,0,2968128,102.931,"Asia"
"142","2020-09","ARM","2020-09-30","Armenia",50359,959,16966.586,323.099,NA,NA,0,0,0,0,2968128,102.931,"Asia"
"143","2020-10","ARM","2020-10-31","Armenia",89813,1341,30259.14,451.8,NA,NA,0,0,0,0,2968128,102.931,"Asia"
"144","2020-11","ARM","2020-11-30","Armenia",135124,2164,45524.991,729.079,NA,NA,0,0,0,0,2968128,102.931,"Asia"
"145","2020-12","ARM","2020-12-31","Armenia",159409,2823,53706.916,951.105,593903,200.093,0,0,0,0,2968128,102.931,"Asia"
"146","2021-01","ARM","2021-01-31","Armenia",167026,3080,56273.18,1037.691,648520,218.495,0,0,0,0,2968128,102.931,"Asia"
"147","2021-02","ARM","2021-02-28","Armenia",172058,3192,57968.524,1075.425,729267,245.699,0,0,0,0,2968128,102.931,"Asia"
"148","2021-03","ARM","2021-03-31","Armenia",192639,3515,64902.524,1184.248,853829,287.666,565,0,0.02,0,2968128,102.931,"Asia"
"149","2021-04","ARM","2021-04-30","Armenia",216064,4108,72794.704,1384.037,983656,331.406,NA,0,NA,0,2968128,102.931,"Asia"
"150","2021-05","ARM","2021-05-31","Armenia",222670,4438,75020.35,1495.219,1083960,365.2,NA,0,NA,0,2968128,102.931,"Asia"
"151","2021-06","ARM","2021-06-30","Armenia",225095,4514,75837.363,1520.824,1185002,399.242,NA,0,NA,0,2968128,102.931,"Asia"
"152","2021-07","ARM","2021-07-31","Armenia",230110,4614,77526.98,1554.515,1340258,451.55,NA,0,NA,0,2968128,102.931,"Asia"
"153","2021-08","ARM","2021-08-31","Armenia",242135,4844,81578.355,1632.005,1540436,518.992,NA,0,NA,0,2968128,102.931,"Asia"
"154","2021-09","ARM","2021-09-30","Armenia",261697,5319,88169.041,1792.039,1712685,577.025,NA,0,NA,0,2968128,102.931,"Asia"
"155","2020-03","ATG","2020-03-31","Antigua and Barbuda",7,0,70.902,0,0,0,0,0,0,0,98728,231.845,"North America"
"156","2020-04","ATG","2020-04-30","Antigua and Barbuda",24,3,243.092,30.387,0,0,0,0,0,0,98728,231.845,"North America"
"157","2020-05","ATG","2020-05-31","Antigua and Barbuda",26,3,263.35,30.387,0,0,0,0,0,0,98728,231.845,"North America"
"158","2020-06","ATG","2020-06-30","Antigua and Barbuda",69,3,698.89,30.387,0,0,0,0,0,0,98728,231.845,"North America"
"159","2020-07","ATG","2020-07-31","Antigua and Barbuda",91,3,921.724,30.387,0,0,0,0,0,0,98728,231.845,"North America"
"160","2020-08","ATG","2020-08-31","Antigua and Barbuda",94,3,952.111,30.387,0,0,0,0,0,0,98728,231.845,"North America"
"161","2020-09","ATG","2020-09-30","Antigua and Barbuda",101,3,1023.013,30.387,0,0,0,0,0,0,98728,231.845,"North America"
"162","2020-10","ATG","2020-10-31","Antigua and Barbuda",128,3,1296.491,30.387,0,0,0,0,0,0,98728,231.845,"North America"
"163","2020-11","ATG","2020-11-30","Antigua and Barbuda",141,4,1428.166,40.515,0,0,0,0,0,0,98728,231.845,"North America"
"164","2020-12","ATG","2020-12-31","Antigua and Barbuda",159,5,1610.485,50.644,0,0,0,0,0,0,98728,231.845,"North America"
"165","2021-01","ATG","2021-01-31","Antigua and Barbuda",234,7,2370.148,70.902,0,0,0,0,0,0,98728,231.845,"North America"
"166","2021-02","ATG","2021-02-28","Antigua and Barbuda",730,14,7394.052,141.804,0,0,0,0,0,0,98728,231.845,"North America"
"167","2021-03","ATG","2021-03-31","Antigua and Barbuda",1136,28,11506.361,283.607,0,0,26836,0,27.18,0,98728,231.845,"North America"
"168","2021-04","ATG","2021-04-30","Antigua and Barbuda",1232,32,12478.729,324.123,0,0,NA,0,NA,0,98728,231.845,"North America"
"169","2021-05","ATG","2021-05-31","Antigua and Barbuda",1260,42,12762.337,425.411,0,0,50329,0,50.98,0,98728,231.845,"North America"
"170","2021-06","ATG","2021-06-30","Antigua and Barbuda",1263,42,12792.723,425.411,0,0,NA,0,NA,0,98728,231.845,"North America"
"171","2021-07","ATG","2021-07-31","Antigua and Barbuda",1303,43,13197.877,435.54,0,0,NA,0,NA,0,98728,231.845,"North America"
"172","2021-08","ATG","2021-08-31","Antigua and Barbuda",1715,44,17370.959,445.669,0,0,75069,0,76.04,0,98728,231.845,"North America"
"173","2021-09","ATG","2021-09-30","Antigua and Barbuda",3231,79,32726.278,800.178,0,0,NA,0,NA,0,98728,231.845,"North America"
"174","2020-01","AUS","2020-01-31","Australia",9,0,0.349,0,0,0,0,0,0,0,25788217,3.202,"Oceania"
"175","2020-02","AUS","2020-02-29","Australia",25,0,0.969,0,0,0,0,0,0,0,25788217,3.202,"Oceania"
"176","2020-03","AUS","2020-03-31","Australia",4559,18,176.786,0.698,0,0,0,0,0,0,25788217,3.202,"Oceania"
"177","2020-04","AUS","2020-04-30","Australia",6766,93,262.368,3.606,563641,21.857,0,0,0,0,25788217,3.202,"Oceania"
"178","2020-05","AUS","2020-05-31","Australia",7202,103,279.275,3.994,1454568,56.404,0,0,0,0,25788217,3.202,"Oceania"
"179","2020-06","AUS","2020-06-30","Australia",7920,104,307.117,4.033,2455982,95.237,0,0,0,0,25788217,3.202,"Oceania"
"180","2020-07","AUS","2020-07-31","Australia",17280,201,670.073,7.794,NA,NA,0,0,0,0,25788217,3.202,"Oceania"
"181","2020-08","AUS","2020-08-31","Australia",25819,657,1001.194,25.477,6214453,240.98,0,0,0,0,25788217,3.202,"Oceania"
"182","2020-09","AUS","2020-09-30","Australia",27096,888,1050.712,34.434,7637403,296.159,0,0,0,0,25788217,3.202,"Oceania"
"183","2020-10","AUS","2020-10-31","Australia",27595,907,1070.062,35.171,NA,NA,0,0,0,0,25788217,3.202,"Oceania"
"184","2020-11","AUS","2020-11-30","Australia",27912,908,1082.355,35.21,9996243,387.628,0,0,0,0,25788217,3.202,"Oceania"
"185","2020-12","AUS","2020-12-31","Australia",28425,909,1102.248,35.249,11260636,436.658,0,0,0,0,25788217,3.202,"Oceania"
"186","2021-01","AUS","2021-01-31","Australia",28818,909,1117.487,35.249,12951776,502.236,0,0,0,0,25788217,3.202,"Oceania"
"187","2021-02","AUS","2021-02-28","Australia",28978,909,1123.691,35.249,14349465,556.435,34630,0,0.13,0,25788217,3.202,"Oceania"
"188","2021-03","AUS","2021-03-31","Australia",29322,909,1137.031,35.249,15613220,605.44,744330,0,2.89,0,25788217,3.202,"Oceania"
"189","2021-04","AUS","2021-04-30","Australia",29811,910,1155.993,35.287,NA,NA,2234844,0,8.67,0,25788217,3.202,"Oceania"
"190","2021-05","AUS","2021-05-31","Australia",30118,910,1167.898,35.287,18398692,713.453,4362739,0,16.92,0,25788217,3.202,"Oceania"
"191","2021-06","AUS","2021-06-30","Australia",30643,910,1188.256,35.287,20684917,802.107,7742536,0,30.02,0,25788217,3.202,"Oceania"
"192","2021-07","AUS","2021-07-31","Australia",34383,924,1333.283,35.83,NA,NA,12334071,0,47.83,0,25788217,3.202,"Oceania"
"193","2021-08","AUS","2021-08-31","Australia",55093,1012,2136.363,39.243,31561341,1223.867,19663122,0,76.25,0,25788217,3.202,"Oceania"
"194","2021-09","AUS","2021-09-30","Australia",107181,1311,4156.2,50.837,37845625,1467.555,28035888,0,108.72,0,25788217,3.202,"Oceania"
"195","2020-02","AUT","2020-02-29","Austria",9,0,0.995,0,0,0,0,0,0,0,9043072,106.749,"Europe"
"196","2020-03","AUT","2020-03-31","Austria",10180,128,1125.724,14.154,0,0,0,0,0,0,9043072,106.749,"Europe"
"197","2020-04","AUT","2020-04-30","Austria",15452,584,1708.711,64.58,256399,28.353,0,0,0,0,9043072,106.749,"Europe"
"198","2020-05","AUT","2020-05-31","Austria",16731,668,1850.146,73.869,448534,49.6,0,0,0,0,9043072,106.749,"Europe"
"199","2020-06","AUT","2020-06-30","Austria",17766,705,1964.598,77.96,612756,67.76,0,0,0,0,9043072,106.749,"Europe"
"200","2020-07","AUT","2020-07-31","Austria",21130,718,2336.595,79.398,890461,98.469,0,0,0,0,9043072,106.749,"Europe"
"201","2020-08","AUT","2020-08-31","Austria",27438,733,3034.146,81.057,1180711,130.565,0,0,0,0,9043072,106.749,"Europe"
"202","2020-09","AUT","2020-09-30","Austria",44813,799,4955.506,88.355,1617987,178.92,0,0,0,0,9043072,106.749,"Europe"
"203","2020-10","AUT","2020-10-31","Austria",104925,1109,11602.805,122.635,2232735,246.9,0,0,0,0,9043072,106.749,"Europe"
"204","2020-11","AUT","2020-11-30","Austria",282456,3184,31234.519,352.093,3098318,342.618,0,0,0,0,9043072,106.749,"Europe"
"205","2020-12","AUT","2020-12-31","Austria",360815,6222,39899.605,688.041,NA,NA,5176,0,0.06,0,9043072,106.749,"Europe"
"206","2021-01","AUT","2021-01-31","Austria",414398,7721,45824.914,853.803,9355779,1034.58,263108,2,2.91,0,9043072,106.749,"Europe"
"207","2021-02","AUT","2021-02-28","Austria",459440,8561,50805.744,946.692,14907781,1648.531,708030,65,7.83,0,9043072,106.749,"Europe"
