"","sic","year","emp","vship","matcost","vadd","energy","cap"
"1",2011,58,200.899993896484,11950.7001953125,10230.099609375,1748.59997558594,47.9000015258789,3575.5
"2",2011,93,124.400001525879,53240.30078125,45735.80078125,7634.2001953125,263.899993896484,7061.7001953125
"3",2013,58,48.7000007629395,2088.10009765625,1657.19995117188,442.799987792969,11.3000001907349,939.200012207031
"4",2013,93,84.1999969482422,20700.69921875,15225.2998046875,5511.7001953125,238.5,3954.60009765625
"5",2015,58,62.4000015258789,1888.19995117188,1582.90002441406,310.600006103516,9.39999961853027,1520
"6",2015,93,205.300003051758,25501.19921875,17899.099609375,7668.89990234375,326.399993896484,5106.39990234375
"7",2021,58,17.2999992370605,1023.5,875.299987792969,147.199996948242,14,367.899993896484
"8",2021,93,1.60000002384186,921.400024414062,736.299987792969,184.300003051758,8.39999961853027,457.700012207031
"9",2022,58,17,873.599975585938,743.599975585938,133,7.90000009536743,289.5
"10",2022,93,34.7000007629395,17519.900390625,13656.7998046875,3863.30004882812,171.100006103516,2276.19995117188
"11",2023,58,13.3999996185303,820.599975585938,613.700012207031,202.699996948242,13.5,268.5
"12",2023,93,15.3000001907349,7671.60009765625,4212.7998046875,3479.80004882812,96.3000030517578,1707.09997558594
"13",2024,58,34.7999992370605,951.5,557.299987792969,394.700012207031,10.8999996185303,564.200012207031
"14",2024,93,20.3999996185303,5608.10009765625,3245.30004882812,2363.30004882812,87.3000030517578,1935.90002441406
"15",2026,58,212.5,6423,4452.7998046875,2001.90002441406,60.5999984741211,2867.80004882812
"16",2026,93,63.2000007629395,21806,15734.599609375,6065.2998046875,248.300003051758,6895.2001953125
"17",2032,58,24.2000007629395,846.900024414062,507,340.799987792969,6.59999990463257,975.900024414062
"18",2032,93,21.2000007629395,6977.60009765625,3172.39990234375,3809.10009765625,75.5999984741211,2569.39990234375
"19",2033,58,108.400001525879,2333.89990234375,1485.59997558594,849.900024414062,21.5,2588.69995117188
"20",2033,93,61.2999992370605,14657.7998046875,7922.2998046875,6749.89990234375,233.399993896484,6152.7001953125
"21",2034,58,6.59999990463257,245.399993896484,169,68,1.70000004768372,359.100006103516
"22",2034,93,13.5,2471.39990234375,1218.09997558594,1252.80004882812,69,1170.59997558594
"23",2035,58,19.5,525.299987792969,361.5,164.600006103516,3,658.200012207031
"24",2035,93,24.1000003814697,8130.2998046875,3485.10009765625,4648.2998046875,56.2999992370605,2047.90002441406
"25",2037,58,19.3999996185303,505.100006103516,346,159.399993896484,6,607.900024414062
"26",2037,93,48.4000015258789,7875.7001953125,4643.7001953125,3170.69995117188,227.199996948242,3354.39990234375
"27",2038,58,14.6999998092651,398.5,277.399993896484,124.199996948242,4.80000019073486,509.399993896484
"28",2038,93,46.4000015258789,8272.400390625,4090.69995117188,4184.89990234375,119.599998474121,2605.80004882812
"29",2041,58,28.2000007629395,2086.69995117188,1693.80004882812,393.100006103516,13,1000.09997558594
"30",2041,93,13.3999996185303,6837.2001953125,4990.7001953125,1885.19995117188,133.199996948242,1979.30004882812
"31",2043,58,10.8999996185303,444.100006103516,202,243.100006103516,3.79999995231628,806.200012207031
"32",2043,93,17.6000003814697,10615,2835,7762.60009765625,84.1999969482422,3653.30004882812
"33",2044,58,3.59999990463257,297.899993896484,250.399993896484,50.7999992370605,1,56.2000007629395
"34",2044,93,3.90000009536743,1944.30004882812,1393.90002441406,602.599975585938,34.9000015258789,580.5
"35",2045,58,6.5,319,188.600006103516,131.699996948242,1.70000004768372,437.200012207031
"36",2045,93,14.1000003814697,3948.30004882812,2014.5,1941.40002441406,38.7999992370605,1200.09997558594
"37",2046,58,13.8000001907349,528.5,282,249.399993896484,13.3999996185303,826.599975585938
"38",2046,93,9,6886.2001953125,3644.30004882812,3262.39990234375,427.5,4686.2998046875
"39",2047,58,18,1042.40002441406,752.400024414062,266.899993896484,7,815.5
"40",2047,93,14.1000003814697,7245.2998046875,3591.69995117188,3643,90.5,2111.10009765625
"41",2048,58,39.2999992370605,2196,1692.40002441406,532,15.6000003814697,1707.69995117188
"42",2048,93,33.7999992370605,14857,11068.2998046875,3783.10009765625,188.699996948242,3536.80004882812
"43",2051,58,257.799987792969,4098.60009765625,1995,2118.80004882812,53.7999992370605,5504.2998046875
"44",2051,93,157.899993896484,18658.400390625,6984.5,11677.7998046875,278.700012207031,8286.5
"45",2052,58,44.5,982.5,456.799987792969,523.299987792969,7.69999980926514,817.5
"46",2052,93,48,9441.900390625,3410.5,6045.2001953125,95.8000030517578,2771.60009765625
"47",2053,58,3.90000009536743,82.6999969482422,55.0999984741211,26.6000003814697,1,91
"48",2053,93,13,1809.59997558594,806,1007,29.5,430.700012207031
"49",2061,58,7.30000019073486,178,109.699996948242,67.8000030517578,3.59999990463257,417.700012207031
"50",2061,93,6.69999980926514,1519.09997558594,892.099975585938,673,34.4000015258789,1106.19995117188
"51",2062,58,15.1999998092651,997.299987792969,812.599975585938,184.800003051758,11.1999998092651,1394.09997558594
"52",2062,93,4.90000009536743,2769.5,1994.5,757.099975585938,53.5,1220.40002441406
"53",2063,58,10.3000001907349,392.200012207031,255,130.399993896484,16.7999992370605,413.899993896484
"54",2063,93,7.59999990463257,2359.10009765625,1603.80004882812,765.299987792969,133.800003051758,1294.40002441406
"55",2064,58,55.7999992370605,936.900024414062,516.700012207031,418.100006103516,7.19999980926514,1130.59997558594
"56",2064,93,48.5,9364.7001953125,3874.80004882812,5467.2998046875,108.5,3358.60009765625
"57",2066,58,8.89999961853027,468.299987792969,336.600006103516,140.800003051758,4,196.300003051758
"58",2066,93,10,3203.19995117188,1658.09997558594,1556,38.5,1302.69995117188
"59",2067,58,5.59999990463257,185.100006103516,80,104.800003051758,0.800000011920929,168.100006103516
"60",2067,93,4.30000019073486,1304.90002441406,408.600006103516,910.799987792969,11.3000001907349,475.799987792969
"61",2068,58,10.6999998092651,292.399993896484,210.699996948242,94.4000015258789,3,135.699996948242
"62",2068,93,10,3043.89990234375,1937.80004882812,1235.5,26.2999992370605,449.399993896484
"63",2074,58,8.39999961853027,420.600006103516,348.600006103516,63.5999984741211,7.40000009536743,590.5
"64",2074,93,2.29999995231628,743.700012207031,529.5,214.600006103516,29.3999996185303,490.399993896484
"65",2075,58,8.10000038146973,1080.80004882812,947,139.600006103516,12.6000003814697,1262.80004882812
"66",2075,93,7.5,11705.099609375,10153,1537.19995117188,198.199996948242,2065.10009765625
"67",2076,58,2.29999995231628,314.700012207031,270.700012207031,42.0999984741211,2.70000004768372,174.399993896484
"68",2076,93,0.899999976158142,721.099975585938,603.799987792969,139.800003051758,12.8000001907349,275.5
